id,bairro,area_m2,quartos,banheiros,vagas,ano_construcao,distancia_km_centro,preco
1,Maracanã,58,3,1,0,1952,20.6,307012
2,Flamengo,91,2,1,1,2009,4.5,623963
3,Leblon,79,3,1,2,2002,7.8,891232
4,Maracanã,52,2,1,1,2003,11.4,320748
5,Ipanema,82,1,1,0,1989,12.4,803678
6,Flamengo,95,3,1,0,1958,4.6,732254
7,Barra da Tijuca,103,5,1,1,1986,21.4,927194
8,Leblon,116,1,4,1,1991,1.1,1238695
9,Maracanã,154,1,2,3,1991,12.9,855748
10,Tijuca,110,1,2,0,2011,16.7,637263
11,Recreio,84,1,1,0,2000,19.3,512915
12,Tijuca,50,1,1,0,1961,17.9,217199
13,Copacabana,62,3,2,0,2005,7.6,638477
14,Barra da Tijuca,48,4,1,1,1952,26.5,466936
15,Leblon,102,1,2,3,1980,11.0,1098828
16,Centro,92,2,4,0,1968,20.6,521232
17,Barra da Tijuca,103,5,3,1,2010,16.9,947572
18,Copacabana,46,1,2,0,1997,6.8,391289
19,Maracanã,91,4,3,1,2013,10.5,515781
20,Flamengo,89,4,2,0,1981,5.8,734983
21,Ipanema,96,2,2,2,1982,8.5,980291
22,Maracanã,53,5,3,2,2015,27.4,356515
23,Leblon,144,2,1,1,2009,1.3,1630017
24,Flamengo,60,2,2,0,1979,7.5,435265
25,Leblon,51,1,4,0,1983,7.4,531415
26,Recreio,69,3,2,0,1965,14.6,469102
27,Copacabana,96,2,1,2,1959,11.0,879482
28,Copacabana,145,6,3,3,1989,5.6,1440821
29,Barra da Tijuca,122,1,2,1,1970,13.1,954634
30,Flamengo,90,4,3,1,1979,8.1,756828
31,Recreio,95,1,1,0,2001,16.4,699960
32,Flamengo,107,1,2,2,2002,4.5,814408
33,Centro,104,1,1,2,1956,17.3,520795
34,Recreio,63,2,1,2,1966,14.7,506876
35,Leblon,84,2,1,1,2010,15.4,962596
36,Leblon,97,3,1,1,1981,1.5,1103905
37,Tijuca,100,1,1,0,1964,12.7,654672
38,Tijuca,52,4,1,0,1985,7.4,350073
39,Ipanema,51,1,1,0,1978,1.3,490357
40,Flamengo,94,4,1,1,1998,14.9,728214
